doc,a_sent_id,a_speaker,a_text,a_sound_url,b_sent_id,b_speaker,b_text,b_sound_url,len,b_root_upos,b_root_form,orphan_tail,a_continues,a_is_question,b_first_token,b_starts_backchannel_like,b_has_question_mark,b_root_is_intj_part,is_coconstruction,coconstruct_deprel,governor_token_id,notes
Gos257,Gos257.s148,Cf-prij-07151,še,https://nl.ijs.si/project/gos20/Gos257/Gos257.s148.mp3,Gos257.s149,Bm-prij-07150,"čakaj , kdo pa še gre tule zraven ?",https://nl.ijs.si/project/gos20/Gos257/Gos257.s149.mp3,7,VERB,gre,0,0,0,čakaj,0,1,0,,,,
Artur-J-Gvecg-P500042,Artur-J-Gvecg-P500046.s173_reseg.339,Artur-J-G3018,"kako ste v vašem primeru zadostili zahtevam regulatorjev , nadzora , varnosti",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P500046.s173.mp3,Artur-J-Gvecg-P500046.s211_reseg.348,Artur-J-G3090,tako da na to sem kar ponosen .,https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P500046.s211.mp3,7,ADJ,ponosen,0,0,0,tako,1,0,0,,,,
Artur-J-Gvecg-P580003,Artur-J-Gvecg-P580003.s9-s11_reseg.556.1,Artur-J-G4530,lep pozdrav na Štajerski val,https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580003.s9-s11.mp3,Artur-J-Gvecg-P580003.s9-s11_reseg.556.2,Artur-J-G4531,del tvojega glasbenega značaja je čista zafrkancija .,https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580003.s9-s11.mp3,7,NOUN,zafrkancija,0,1,0,del,0,0,0,,,,
Artur-J-Gvecg-P580009,Artur-J-Gvecg-P580009.s33_reseg.601,Artur-J-G4539,ali je rimska pet,https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580009.s33.mp3,Artur-J-Gvecg-P580009.s34_reseg.602,Artur-J-G4538,"tako ja , rimska pet , ja , ja , eee .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580009.s34.mp3,7,NUM,pet,0,0,0,tako,1,0,0,,,,
Gos018,Gos018.s310,Lm-ucen-01096,"ne , je že",https://nl.ijs.si/project/gos20/Gos018/Gos018.s310.mp3,Gos018.s311,Mf-prof-01097,"aja , torej propada , propada , propada , nihče ne živi .",https://nl.ijs.si/project/gos20/Gos018/Gos018.s311.mp3,8,VERB,propada,0,0,0,aja,1,0,0,,,,
Gos018,Gos018.s318,Em-ucen-01089,"ja , pa poleg",https://nl.ijs.si/project/gos20/Gos018/Gos018.s318.mp3,Gos018.s320,Mf-prof-01097,"tale hiše je kar nekaj značilno , ker propadajo .",https://nl.ijs.si/project/gos20/Gos018/Gos018.s320.mp3,8,ADV,značilno,0,0,0,tale,0,0,0,,,,
Gos243,Gos243.s99,Mm-prij-09507,na par forumov,https://nl.ijs.si/project/gos20/Gos243/Gos243.s99.mp3,Gos243.s100,Am-prij-09505,"na par forumov fuknemo gor , da iščemo kitarista .",https://nl.ijs.si/project/gos20/Gos243/Gos243.s100.mp3,8,VERB,fuknemo,0,0,0,na,0,0,0,,,,
Gos273,Gos273.s87,Bf-prij-02102,tako da,https://nl.ijs.si/project/gos20/Gos273/Gos273.s87.mp3,Gos273.s88,Af-prij-02101,"no , povej , kako sta se še kaj imela .",https://nl.ijs.si/project/gos20/Gos273/Gos273.s88.mp3,8,VERB,povej,0,1,0,no,0,0,0,,,,
Gos061,Gos061.s411,Hm-ucen-05575,samo če so imeli še tam,https://nl.ijs.si/project/gos20/Gos061/Gos061.s411.mp3,Gos061.s412,Af-prof-05568,"kdo ga od daleč že zagleda , [name:personal] , prosim ?",https://nl.ijs.si/project/gos20/Gos061/Gos061.s412.mp3,8,VERB,zagleda,0,0,0,kdo,0,1,0,,,,
Gos159,Gos159.s621,Om-gost-06560,"ej , fanta , mislim , ne me zdaj",https://nl.ijs.si/project/gos20/Gos159/Gos159.s621.mp3,Gos159.s622,Gm-novi-02048,"glej , tega od tebe nisem pričakoval , samo to .",https://nl.ijs.si/project/gos20/Gos159/Gos159.s622.mp3,8,VERB,pričakoval,1,0,0,glej,0,0,0,,,,
Gos168,Gos168.s196,Bm-novi-02092,"no , vidi se , da truda je veliko , na , na vsak način si želi , seveda , zelo , zelo dober rezultat , ampak mislim , da je",https://nl.ijs.si/project/gos20/Gos168/Gos168.s196.mp3,Gos168.s198,Am-novi-02099,"da , in kar odstopila je torej Anja pärson .",https://nl.ijs.si/project/gos20/Gos168/Gos168.s198.mp3,8,VERB,odstopila,0,1,0,da,0,0,0,,,,
Gos182,Gos182.s175,Bf-prod-02264,"zdaj sploh ni več teh slik , ki bi",https://nl.ijs.si/project/gos20/Gos182/Gos182.s175.mp3,Gos182.s176,Af-stra-02238,"a si videla oni plakat , krasen , za Hazard .",https://nl.ijs.si/project/gos20/Gos182/Gos182.s176.mp3,8,VERB,videla,0,1,0,a,1,0,0,,,,
Gos254,Gos254.s687,Mm-prij-06007,to so,https://nl.ijs.si/project/gos20/Gos254/Gos254.s687.mp3,Gos254.s688,Dm-prij-06009,"to je bila nesreča pa so jo , in",https://nl.ijs.si/project/gos20/Gos254/Gos254.s688.mp3,8,NOUN,nesreča,0,0,0,to,0,0,0,,,,
Gos262,Gos262.s144,Af-prij-00507,"ja , sem slišala , sem videla , v bistvu sem na facebooku , ja",https://nl.ijs.si/project/gos20/Gos262/Gos262.s144.mp3,Gos262.s145,Bf-prij-00508,"a na facebooku , no , saj jaz isto , ja .",https://nl.ijs.si/project/gos20/Gos262/Gos262.s145.mp3,8,PROPN,facebooku,0,1,0,a,1,0,0,,,,
Gos074,Gos074.s293,Am-novi-02535,"dobro , ampak",https://nl.ijs.si/project/gos20/Gos074/Gos074.s293.mp3,Gos074.s294,Pm-gost-02549,da bo imela neke rezultate na področju gospodarskega kriminala .,https://nl.ijs.si/project/gos20/Gos074/Gos074.s294.mp3,9,VERB,imela,0,0,0,da,0,0,0,,,,
Gos190,Gos190.s120,Bf-prod-02277,"se imaš , to je treba zalivati in",https://nl.ijs.si/project/gos20/Gos190/Gos190.s120.mp3,Gos190.s121,Af-stra-02276,"daj mi , poglejva , ne ciklame , one , eee , jurice , tako .",https://nl.ijs.si/project/gos20/Gos190/Gos190.s121.mp3,9,VERB,poglejva,0,0,0,daj,0,0,0,,,,
Gos235,Gos235.s250,Mf-soro-09520,"aja , u- , ne , saj so predavatelji so sigurno mlajši od tele",https://nl.ijs.si/project/gos20/Gos235/Gos235.s250.mp3,Gos235.s251,Tf-soro-09519,"v naši knjigarni , mhm , tako da ja , ja , prec .",https://nl.ijs.si/project/gos20/Gos235/Gos235.s251.mp3,9,NOUN,knjigarni,0,1,0,v,1,0,0,,,,
Gos173,Gos173.s58,Bm-stra-05582,tlele sem si vsak večer nesel k,https://nl.ijs.si/project/gos20/Gos173/Gos173.s58.mp3,Gos173.s59,Am-prod-05581,"ja , ja , pes , tam , kjer je pes , tam je dobro .",https://nl.ijs.si/project/gos20/Gos173/Gos173.s59.mp3,10,NOUN,pes,1,1,0,ja,1,0,0,,,,
Gos185,Gos185.s174,Af-udel-02236,"in da te včasih prav kaj šokira , kaj , kaj ti reče , recimo",https://nl.ijs.si/project/gos20/Gos185/Gos185.s174.mp3,Gos185.s175,Cf-udel-02323,"samo po drugi strani pa on izredno zrelo misli , ne .",https://nl.ijs.si/project/gos20/Gos185/Gos185.s175.mp3,10,VERB,misli,0,0,0,samo,0,0,0,,,,
Gos254,Gos254.s643,Dm-prij-06009,imajo tiste notri pa,https://nl.ijs.si/project/gos20/Gos254/Gos254.s643.mp3,Gos254.s644,If-prij-06008,"naj , jaz sem za , aja , ne , fejst gori te višine .",https://nl.ijs.si/project/gos20/Gos254/Gos254.s644.mp3,10,VERB,sem,0,1,0,naj,0,0,0,,,,
Gos192,Gos192.s75,Cf-stra-07534,"ker nama je bilo ful všeč tako malo mestece , tako mir , kar , pa",https://nl.ijs.si/project/gos20/Gos192/Gos192.s75.mp3,Gos192.s76,Am-prod-02325,"sem ti rekel , da sem jaz živel na slovenski obali , ne ?",https://nl.ijs.si/project/gos20/Gos192/Gos192.s76.mp3,11,VERB,rekel,0,1,0,sem,0,1,0,,,,
Gos236,Gos236.s369,Af-otro-02559,kdaj si s-,https://nl.ijs.si/project/gos20/Gos236/Gos236.s369.mp3,Gos236.s370,Df-otro-02562,"saj še ne vem , kam , v Avstralijo ali pa v Ameriko .",https://nl.ijs.si/project/gos20/Gos236/Gos236.s370.mp3,11,VERB,vem,1,0,0,saj,0,0,0,,,,
Gos167,Gos167.s142,Tm-nast-06575,"eee , ja , žena kupuje za moj denar , ampak , eee ,",https://nl.ijs.si/project/gos20/Gos167/Gos167.s142.mp3,Gos167.s143,Df-mode-06573,"podarjam pa potem jaz , recimo , ženi sem , a ni v kostimu ?",https://nl.ijs.si/project/gos20/Gos167/Gos167.s143.mp3,11,VERB,podarjam,0,0,0,podarjam,0,1,0,,,,
Gos173,Gos173.s62,Am-prod-05581,"ja , ja , da bi kdo rekel",https://nl.ijs.si/project/gos20/Gos173/Gos173.s62.mp3,Gos173.s63,Bm-stra-05582,one rebra pa gor in sem tamle zraven čevljev sem spal .,https://nl.ijs.si/project/gos20/Gos173/Gos173.s63.mp3,11,NOUN,rebra,0,1,0,one,0,0,0,,,,
Gos190,Gos190.s115,Af-stra-02276,do zdaj so,https://nl.ijs.si/project/gos20/Gos190/Gos190.s115.mp3,Gos190.s116,Cf-stra-02265,"ker jaz bi imela lepe rože , samo ne dosti dela , veš .",https://nl.ijs.si/project/gos20/Gos190/Gos190.s116.mp3,11,VERB,imela,0,1,0,ker,0,0,0,,,,
Gos262,Gos262.s155,Af-prij-00507,"ja , ma na koncu se pa zmeraj",https://nl.ijs.si/project/gos20/Gos262/Gos262.s155.mp3,Gos262.s157,Bf-prij-00508,"jah , je kar , no , meni se zdi , da- , da je kar .",https://nl.ijs.si/project/gos20/Gos262/Gos262.s157.mp3,11,VERB,je,1,1,0,jah,0,0,0,,,,
Gos181,Gos181.s440,Df-udel-02555,"ja , da preden bodo , eee , usposobljene one , bomo s , še en",https://nl.ijs.si/project/gos20/Gos181/Gos181.s440.mp3,Gos181.s441,Af-udel-02552,"jaz mislim , da je tole , punce , jaz mislim , da je tole to .",https://nl.ijs.si/project/gos20/Gos181/Gos181.s441.mp3,12,VERB,mislim,0,0,0,jaz,0,0,0,,,,
Gos233,Gos233.s385,Bm-star-03014,more biti,https://nl.ijs.si/project/gos20/Gos233/Gos233.s385.mp3,Gos233.s386,Tm-otro-03016,"to te itak [name:organisation] ima monopol pa vse , pol pa nateguje ljudi .",https://nl.ijs.si/project/gos20/Gos233/Gos233.s386.mp3,12,VERB,ima,0,1,0,to,0,0,0,,,,
Artur-J-Gvecg-P580023,Artur-J-Gvecg-P580023.s46-s47_reseg.641,Artur-J-G4544,"ste sploh razmišljali , da bi si zbrali kakšen drug poklic , ko pa vam je bila glasba , pesem in petje položena v zibelko",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580023.s46-s47.mp3,Artur-J-Gvecg-P580023.s50-s51_reseg.644,Artur-J-G4554,"celo osnovno šolo in začetek srednje šole sem sanjala , da bom pediatrinja .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580023.s50-s51.mp3,12,VERB,sanjala,0,0,0,celo,0,0,0,,,,
Artur-J-Gvecg-P580041,Artur-J-Gvecg-P580041.s42_reseg.712,Artur-J-G4531,"mimogrede pomislim , kako je bilo mami s sedmimi moškimi pri hiši",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580041.s42.mp3,Artur-J-Gvecg-P580041.s45_reseg.714,Artur-J-G4521,"dejstvo pa je , da se zelo dobro zastopimo in smo zelo povezani .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580041.s45.mp3,12,NOUN,dejstvo,0,1,0,dejstvo,0,0,0,,,,
Gos167,Gos167.s140,Tm-nast-06575,"recimo , eee , čevlje , nogavice ali pa kravato , jaz sem rec-",https://nl.ijs.si/project/gos20/Gos167/Gos167.s140.mp3,Gos167.s141,Df-mode-06573,"ampak , [name:personal] , kako ji vi podarite , če ste prej rekli , da žena kupuje ?",https://nl.ijs.si/project/gos20/Gos167/Gos167.s141.mp3,13,VERB,podarite,1,1,0,ampak,0,1,0,,,,
Artur-J-Gvecg-P580009,Artur-J-Gvecg-P580009.s16-s17_reseg.592,Artur-J-G4539,"in če si bil ves ta čas vpet v pisanje , še ostajaš tudi zdaj povezan z besedami in pisanjem",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580009.s16-s17.mp3,Artur-J-Gvecg-P580009.s20-s21_reseg.595,Artur-J-G4538,"niti mi ne diši današnje novinarstvo , kakršno postaja , ne v celoti , ampak marsikje .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580009.s20-s21.mp3,13,VERB,diši,0,0,0,niti,0,0,0,,,,
Gos205,Gos205.s66,Bf-stra-02233,"in pač , ne vem zdaj , kaj , ali imeli svoj lasten piknik ali kaj jaz vem , nekaj v bistvu čim bolj takega neformalnega bi jaz",https://nl.ijs.si/project/gos20/Gos205/Gos205.s66.mp3,Gos205.s67,Af-info-02324,"mhm , mhm , ja , ja , da je čim bolj , tako , da se pol nadaljuje , ja .",https://nl.ijs.si/project/gos20/Gos205/Gos205.s67.mp3,14,VERB,je,0,1,0,mhm,1,0,0,,,,
Gos253,Gos253.s86,Bm-prij-02281,vrč pa,https://nl.ijs.si/project/gos20/Gos253/Gos253.s86.mp3,Gos253.s87,Cm-prij-02282,"a , sok je meni dober , ne , v bistvu iz jabolk , mi je ful všeč .",https://nl.ijs.si/project/gos20/Gos253/Gos253.s87.mp3,14,ADJ,dober,0,0,0,a,1,0,0,,,,
Gos225,Gos225.s359,Hf-prij-02352,"na , noče , ne tule na",https://nl.ijs.si/project/gos20/Gos225/Gos225.s359.mp3,Gos225.s360,Cm-prij-02347,"kaj tako si , da bi dala ona kaj noter , ne vem , ko ima , kaj jaz vem .",https://nl.ijs.si/project/gos20/Gos225/Gos225.s360.mp3,16,VERB,si,1,0,0,kaj,1,0,0,,,,
Gos280,Gos280.s55,Mf-soro-09513,"mislim , če b-",https://nl.ijs.si/project/gos20/Gos280/Gos280.s55.mp3,Gos280.s56,Af-soro-09512,"je rekel , da je , eee , da kar , edino , če se kako kaj na stran ali pa",https://nl.ijs.si/project/gos20/Gos280/Gos280.s56.mp3,16,VERB,rekel,1,0,0,je,0,0,0,,,,
Gos228,Gos228.s81,Kf-sode-01615,"se prevažajo tam proti Dragonji , tam je",https://nl.ijs.si/project/gos20/Gos228/Gos228.s81.mp3,Gos228.s82,If-sode-01616,"ja , ja , jaz sem včeraj , ko smo šli proti Belvedurju , ne , ki greš tam mimo Svetega Antona .",https://nl.ijs.si/project/gos20/Gos228/Gos228.s82.mp3,17,VERB,sem,0,0,0,ja,1,0,0,,,,
Gos241,Gos241.s160,Vm-prij-09524,pol je pa samo,https://nl.ijs.si/project/gos20/Gos241/Gos241.s160.mp3,Gos241.s161,Bm-prij-09523,"recimo , eem , bencinski motor ima pa zelo različne izkoristke , pri nizkih ali pa pri visokih obratih , ne .",https://nl.ijs.si/project/gos20/Gos241/Gos241.s161.mp3,17,VERB,ima,0,0,0,recimo,0,0,0,,,,
Artur-J-Gvecg-P500064,Artur-J-Gvecg-P500064.s418-s419_reseg.492,Artur-J-G3139,ali dobijo takšne družine pomoč potem pravočasno ali bi vendarle morda tu lahko bili hitrejši,https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P500064.s418-s419.mp3,Artur-J-Gvecg-P500064.s420-s421_reseg.493,Artur-J-G3137,"tukaj se trudimo in , e , res tudi prednostno , e , se obravnava , zaostankov na tem področju , e , ni .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P500064.s420-s421.mp3,17,VERB,trudimo,0,0,0,tukaj,0,0,0,,,,
Artur-J-Gvecg-P580023,Artur-J-Gvecg-P580023.s36_reseg.637,Artur-J-G4544,"a bi bilo mogoče , da bi kdaj nastal kvintet Drašljer , vi trije bi peli , brata vas bi spremljala",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580023.s36.mp3,Artur-J-Gvecg-P580023.s43_reseg.639,Artur-J-G4554,"ampak se pa trudimo v tej smeri , da jih pa kdaj tudi eee , po domače rečeno , ponucamo .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580023.s43.mp3,17,VERB,trudimo,0,1,0,ampak,0,0,0,,,,
Gos217,Gos217.s102,Bf-ssta-10002,vse tako sito kot pa,https://nl.ijs.si/project/gos20/Gos217/Gos217.s102.mp3,Gos217.s103,Jf-star-10005,"ja , tako je , tako , če flancat vtakneš dol , bolj pa dva , si pa tako , da te raznesti hoče .",https://nl.ijs.si/project/gos20/Gos217/Gos217.s103.mp3,18,VERB,je,0,0,0,ja,1,0,0,,,,
Artur-J-Gvecg-P580003,Artur-J-Gvecg-P580003.s67-s68_reseg.570,Artur-J-G4531,"ti si napisal te preobleke , kdo pa še stoji na odru , znana imena",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580003.s67-s68.mp3,Artur-J-Gvecg-P580003.s69-s72_reseg.571.0,Artur-J-G4530,"torej Tilen Artač , ko smo ga prvič videli na oddaji , kjer je imitiral , e , določene like in jih izvajal .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580003.s69-s72.mp3,19,PROPN,Tilen,0,0,0,torej,0,0,0,,,,
Gos281,Gos281.s274,Mm-soro-00809,tako da,https://nl.ijs.si/project/gos20/Gos281/Gos281.s274.mp3,Gos281.s275,Jm-soro-00810,"ja , ja , ja , to sem jaz naredil , samo pol p- , kot ta petega , ne , sem se pa z [name:personal] menil .",https://nl.ijs.si/project/gos20/Gos281/Gos281.s275.mp3,20,VERB,naredil,0,0,0,ja,1,0,0,,,,
Artur-J-Gvecg-P580002,Artur-J-Gvecg-P580002.s7-s9_reseg.518,Artur-J-G4529,"torej , kaj je prineslo leto korone na področju zaposlovanja , odpuščanja , pravzaprav na področju trga dela",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580002.s7-s9.mp3,Artur-J-Gvecg-P580002.s11-s12_reseg.520,Artur-J-G4528,"delali smo v razmerah , kakršnih še doslej nismo bili , srečevali smo se s problemi , s katerimi se doslej še nismo .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580002.s11-s12.mp3,20,VERB,delali,0,0,0,delali,0,0,0,,,,
Artur-J-Gvecg-P500026,Artur-J-Gvecg-P500026.s267-s268_reseg.193,Artur-J-G3057,zakaj se je več ne sliši in več ne razume,https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P500026.s267-s268.mp3,Artur-J-Gvecg-P500026.s269-s276_reseg.194,Artur-J-G3056,"po eni strani zato , ker , eem , ne znamo odgovorov na razmeroma preprosta vprašanja podati na tak način , da bi jih ljudje razumeli .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P500026.s269-s276.mp3,22,NOUN,strani,0,0,0,po,0,0,0,,,,
Gos189,Gos189.s49,Pf-prof-07533,"pa z- , ko ste zdaj pripravljali osnutek",https://nl.ijs.si/project/gos20/Gos189/Gos189.s49.mp3,Gos189.s50,Sf-stud-07534,"jaz moram res povedati , da bi si želela za ta predmet , da bi enkrat dlje trajal , pa da ne bi bil na koncu .",https://nl.ijs.si/project/gos20/Gos189/Gos189.s50.mp3,23,VERB,moram,0,0,0,jaz,0,0,0,,,,
Gos045,Gos045.s301,Cm-gost-02143,"glejte , zdaj ne vem , koliko jih v- , jih je bilo takrat prisotnih na tem , eee , krpanju , ampak skušamo vse zadevo",https://nl.ijs.si/project/gos20/Gos045/Gos045.s301.mp3,Gos045.s302,Af-mode-02141,"na generalno gledati na racionalnost , eee , izkušnje so , če gledamo , kaj delate izvajalci po Sloveniji , kar , eee , takšne , da moramo biti zelo previdni .",https://nl.ijs.si/project/gos20/Gos045/Gos045.s302.mp3,23,VERB,gledati,0,1,0,na,0,0,0,,,,
Gos189,Gos189.s53,Sf-stud-07534,"zdaj pa , pa to sonce in toplo vreme zunaj in zdaj pa",https://nl.ijs.si/project/gos20/Gos189/Gos189.s53.mp3,Gos189.s54,Pf-prof-07533,"vse nas malo povleče ven , ne , te še moremo malo potem še tiste zadnje moči , da nekako pridemo k sebi , v redu , ne , mhm .",https://nl.ijs.si/project/gos20/Gos189/Gos189.s54.mp3,24,VERB,povleče,1,1,0,vse,0,0,0,,,,
Gos268,Gos268.s270,Vf-prij-06002,"oni , ki je na balkonu , pa skozi",https://nl.ijs.si/project/gos20/Gos268/Gos268.s270.mp3,Gos268.s271,Tf-prij-06001,"samo , a veš , da prej , mislim , ko sva pa midve govorile , sem tudi skozi enega ptiča čula , samo sem mislila , da so oni navadni odzunaj .",https://nl.ijs.si/project/gos20/Gos268/Gos268.s271.mp3,25,VERB,veš,0,1,0,samo,0,0,0,,,,
Artur-J-Gvecg-P500014,Artur-J-Gvecg-P500014.s275-s276_reseg.103,Artur-J-G3018,"je bilo veliko takih odzivov , da si želijo eee tovrstne storitve tudi v v vsakršnem času",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P500014.s275-s276.mp3,Artur-J-Gvecg-P500014.s277-s279_reseg.104,Artur-J-G3020,"ja , po eni strani moram povedati , no , da nekje polovica naših uporabnikov programov se je odlo- odločila za te online eem prilagoditve , ne , za Zoome eee in tako naprej .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P500014.s277-s279.mp3,29,VERB,moram,0,0,0,ja,1,0,0,,,,
Gos255,Gos255.s255,Jm-soro-05614,"to je bila storitev , je pa bila draga , mislim , ali to ni bilo , ka ste tako pogosto uporabljali za vslak- , vsak drek , to ne za",https://nl.ijs.si/project/gos20/Gos255/Gos255.s255.mp3,Gos255.s256,Sm-soro-10523,"dovre- , ja , ja , ne , to so se vozili stalno , m- , mislim , njivo so imeli na ovi strani , ovi pa tu , veš , ker tu vseeno njiva z , mmm , njihova z obeh štajer .",https://nl.ijs.si/project/gos20/Gos255/Gos255.s256.mp3,31,VERB,vozili,1,0,0,dovre-,0,0,0,,,,
Artur-J-Gvecg-P580009,Artur-J-Gvecg-P580009.s52_reseg.610,Artur-J-G4539,se spomniš svoje prve kolumne,https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580009.s52.mp3,Artur-J-Gvecg-P580009.s55_reseg.612,Artur-J-G4538,"prav prve se dejansko ne spomnim , seveda jaz imam vse to z- zbrano in spravljeno , in če bi pogledal , bi seveda rekel , zdaj , eee , rekel , da se spomnim , ne , ampak se ne .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580009.s55.mp3,32,VERB,spomnim,0,1,0,prav,1,0,0,,,,
Artur-J-Gvecg-P580002,Artur-J-Gvecg-P580002.s28-s29_reseg.525,Artur-J-G4529,"bili ste prisotni , bili ste na voljo tudi za vse , ki so vas klicali po telefonu ali vam pisali , kdo se je takrat obračal na vas predvsem",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580002.s28-s29.mp3,Artur-J-Gvecg-P580002.s31-s32_reseg.527,Artur-J-G4528,"od začetka smo nekako postavili dežurno ekipo , eee , večino sodelavcev , pred tem tistih , iz ranljivih ciljnih skupin , se pravi starejših ali pa tistih , ki imajo kakšne zdravstvene omejitve , smo začasno razporedili na čakanje na delo , eee , na dom .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580002.s31-s32.mp3,38,VERB,postavili,0,0,0,od,0,0,0,,,,
Artur-J-Gvecg-P500064,Artur-J-Gvecg-P500064.s449-s450_reseg.507,Artur-J-G3139,"e , z željo , da nam daste nasvet , kako , eem , kaj lahko skupnost bolnikov naredi , da tukaj vendarle naredimo kakšen korak naprej",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P500064.s449-s450.mp3,Artur-J-Gvecg-P500064.s451-s458_reseg.509,Artur-J-G3137,"na ministrstvu spremljamo vse , vse pobude , ki jih dajejo različna , pardon , društva , e , združenja , e , zavodi , e , jih potem tudi , e , posredujemo naprej , e , zdravniškim , e , komisijam in , e , pravilnik , v katerem so določeni kriteriji , in seznam hudih , e , bolezni , e , in , e , stanj , za katere so upravičeni potem do dodatka , se dejansko posodablja .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P500064.s451-s458.mp3,54,VERB,spremljamo,0,0,0,na,0,0,0,,,,
